timestamp	step	index	op_type	node	elem_count	full_elem_count	tile_offset	src_count	original_src_count	compacted_source	wait_s	host_max_abs	audit_pass	mem_size	required_bytes	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req	report
20260505-163601	3	58	Transpose	/3/Transpose_3	96000	96000	0	96000	96000	False	0.0231349	0.0	True	16777216	1555456	957961	325792	325789	111028	111028	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	59	Transpose	/3/Transpose_4	96000	96000	0	96000	96000	False	0.0232196	0.0	True	16777216	1555456	957901	325792	325789	111026	111026	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	60	Transpose	/3/Transpose_5	96000	96000	0	96000	96000	False	0.0231419	0.0	True	16777216	1555456	957765	325792	325789	111025	111025	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	61	Concat	/0/Concat	576000	576000	0	576000	576000	False	0.136381	0.0	True	16777216	9238528	1591285	1951421	1951408	108024	596697	624208	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	62	Concat	/1/Concat	576000	576000	0	576000	576000	False	0.136306	0.0	True	16777216	9238528	1591549	1951421	1951408	108024	597616	625096	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	63	Concat	/2/Concat	576000	576000	0	576000	576000	False	0.136282	0.0	True	16777216	9238528	1590978	1951421	1951408	108024	597417	625133	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	64	Concat	/3/Concat	576000	576000	0	576000	576000	False	0.136519	0.0	True	16777216	9238528	1719254	1951421	1951408	108024	598321	625951	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	65	Concat	/0_1/Concat	576000	576000	0	576000	576000	False	0.136568	0.0	True	16777216	9238528	1728462	1951421	1951408	108024	597581	625614	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	66	Concat	/1_1/Concat	576000	576000	0	576000	576000	False	0.136429	0.0	True	16777216	9238528	1625625	1951421	1951408	108024	597854	625759	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	67	Concat	/2_1/Concat	576000	576000	0	576000	576000	False	0.136491	0.0	True	16777216	9238528	1722251	1951416	1951413	108024	598252	626336	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
