variant	tag	harts	kernel_wait_s	gops	summary_ok	done_count	active_mask	output_sum	slot_checksum_sum	ops	hpm_cycles_max	hpm_cycles_sum_active	hpm_inst_dedup	hpm_l2_miss_max	hpm_l2_miss_sum_active	hpm_icache_req_max	hpm_icache_req_sum_active	hpm_icache_etlink_max	hpm_icache_etlink_sum_active	sc_cycles_sum	sc_cycles_max	sc_reads_sum	sc_reads_max	sc_writes_sum	sc_writes_max	ms_cycles_sum	ms_cycles_max	ms_reads_sum	ms_reads_max	ms_writes_sum	ms_writes_max	cycles_per_op_max	inst_per_op_dedup	sc_reads_per_kop	sc_writes_per_kop	ms_reads_per_kop	ms_writes_per_kop
nhwc_no_prebar_o3	dncnn3_bench_nhwc_2h	2	4.70146	0.10036439744249659	1	2	0x3	514785	514785	471859200	3199360197	6398720261	18446744073709551967	34	49	124	124	18446744073709551597	18446744073709551597	12796137234	3199034364	43296265	22051253	2505374	1091457	39794915586	4974464076	234234	37601	341859	52820	6.780328108469646	39093746765.36889	91.75674650404189	5.309579637315538	0.49640655517578125	0.724493662516276
nhwc_no_prebar_o3	dncnn3_bench_nhwc_4h	4	2.33378	0.20218666712372205	1	4	0xf	514785	514785	471859200	1780101768	5340305279	2015	18446744073709551569	55340232221128654639	18446744073709551421	36893488147419102836	18446744073709551585	36893488147419103170	7119680976	1779920286	38520479	17328031	1883383	494260	22141609245	2767756645	231342	37292	338742	52495	3.772527414957682	4.2703416612413195e-06	81.63553661770291	3.9914088779025607	0.49027760823567706	0.7178878784179688
nhwc_no_prebar_o3	dncnn3_bench_nhwc_8h	8	1.20304	0.39222236999601007	1	8	0xff	514785	514785	471859200	1100687716	6604126215	5412	42	172	800	3181	18446744073709551593	73786976294838206372	4402302996	1100575772	38602266	17337936	1911231	507999	13690793161	1711383297	229937	37147	337581	52376	2.3326613447401257	1.1469523111979167e-05	81.80886586507161	4.050426483154297	0.4873000250922309	0.7154273986816406
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	0.75188	0.627572484971006	1	16	0xffff	514785	514785	471859200	809053884	9708646586	221360928884514611076	18446744073709551588	221360928884514619000	876	6945	18446744073709551571	147573952589676412568	3235884270	808971091	81077364	24880328	3955841	1565091	10063327442	1257941143	229352	37086	336977	52310	1.7146086883544922	469124961184.42664	171.82533264160156	8.383519914415148	0.4860602484809028	0.7141473558213975
nhwc_interior_direct_o3	dncnn3_bench_interior_1h	1	4.6559	0.10134650658304517	1	1	0x1	514785	514785	471859200	3163520729	3163520729	1672	18446744073709551609	18446744073709551609	0	0	0	0	12652794571	3163198688	15283133	4927818	1955470	515100	39349130994	4918739902	234255	37598	342073	52844	6.704374374813503	3.543429904513889e-06	32.38918092515733	4.144181145562066	0.49645105997721356	0.7249471876356337
nhwc_interior_direct_o3	dncnn3_bench_interior_2h	2	3.35984	0.14044097337968475	1	2	0x3	514785	514785	471859200	2384879651	4769759296	18446744073709551991	18446744073709551577	18446744073709551585	18446744073709550331	18446744073709550331	18446744073709551540	18446744073709551540	9538544211	2384636102	12803779	4006694	1948634	524162	29664072780	3708083480	232573	37423	340275	52658	5.054218824174669	39093746765.36889	27.134744856092667	4.129693773057726	0.49288643731011283	0.721136728922526
nhwc_interior_direct_o3	dncnn3_bench_interior_4h	4	1.77074	0.2664757107198121	1	4	0xf	514785	514785	471859200	1420836759	4262510266	18446744073709552008	18446744073709551564	36893488147419103141	18446744073709551361	36893488147419102714	43	86	5682768209	1420692114	12848683	4757266	1955439	573898	17672934538	2209161105	230591	37208	338168	52416	3.011145610809326	39093746765.36889	27.229908837212456	4.144115447998047	0.488686031765408	0.7166714138454862
nhwc_interior_direct_o3	dncnn3_bench_interior_8h	8	0.90109	0.5236537970679954	1	8	0xff	514785	514785	471859200	898661343	5391968024	73786976294838201849	18446744073709551595	73786976294838206384	1287	5133	20	80	3594280302	898570118	12884638	4772186	1983886	590401	11177911425	1397266717	229502	37097	337119	52321	1.9045116488138836	156374987061.47556	27.306107415093315	4.204402499728733	0.48637813991970485	0.7144482930501302
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	0.447631	1.0541253845243068	1	16	0xffff	514785	514785	471859200	631557414	7578688555	147573952589676415654	18446744073709551613	147573952589676412944	18446744073709551575	147573952589676412421	18446744073709551568	147573952589676412544	2525972041	631493034	13989807	4599669	2075342	572808	7855560586	981964654	228954	37037	336562	52263	1.3384446334838866	312749974122.9511	29.648265838623047	4.398223029242621	0.48521677652994794	0.7132678561740451
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_1h	1	5.61175	0.0840841448745935	1	1	0x1	514785	514785	471859200	3736352638	3736352638	18446744073709550736	14	14	0	0	0	0	14943886434	3735971690	40641065	12221297	4962483	3261858	46474235048	5809395823	235366	37725	343085	52957	7.9183634397718645	39093746765.36889	86.12964418199327	10.51687240600586	0.49880557590060765	0.7270918952094184
