variant	tag	harts	hart	minion	thread	cycles	retired_inst0	retired_inst1	l2_miss_req	minion_icache_req	icache_etlink_req
best	dncnn3_bench_best_16h	16	7	3	1	631623819	18446744073709550890	18446744073709550448	18446744073709551597	372	18446744073709551571
best	dncnn3_bench_best_16h	16	8	4	0	631623808	18446744073709551061	18446744073709551200	18446744073709551608	0	0
best	dncnn3_bench_best_16h	16	9	4	1	631623806	18446744073709550894	18446744073709550441	18446744073709551597	375	18446744073709551571
best	dncnn3_bench_best_16h	16	10	5	0	0	0	0	0	0	0
best	dncnn3_bench_best_16h	16	11	5	1	631623805	18446744073709550867	18446744073709550426	18446744073709551597	366	18446744073709551571
best	dncnn3_bench_best_16h	16	12	6	0	631623812	18446744073709551063	18446744073709551200	18446744073709551608	0	0
best	dncnn3_bench_best_16h	16	13	6	1	631623815	18446744073709550880	18446744073709550439	18446744073709551597	372	18446744073709551571
best	dncnn3_bench_best_16h	16	14	7	0	0	0	0	0	0	0
best	dncnn3_bench_best_16h	16	15	7	1	631623828	18446744073709550866	18446744073709550419	18446744073709551597	364	18446744073709551571
boundary_only_cacheops	dncnn3_bench_boundary_1h	1	0	0	0	3224664696	18446744073709550543	18446744073709550623	18446744073709551615	0	0
boundary_only_cacheops	dncnn3_bench_boundary_2h	2	0	0	0	2538443381	18446744073709550674	18446744073709551482	18446744073709551605	0	0
boundary_only_cacheops	dncnn3_bench_boundary_2h	2	1	0	1	2538443394	786	18446744073709551105	18446744073709551615	68	59
boundary_only_cacheops	dncnn3_bench_boundary_4h	4	0	0	0	1429140855	18446744073709551114	18446744073709551285	14	0	0
boundary_only_cacheops	dncnn3_bench_boundary_4h	4	1	0	1	1429140889	682	386	6	625	18446744073709551579
boundary_only_cacheops	dncnn3_bench_boundary_4h	4	2	1	0	0	0	0	0	0	0
boundary_only_cacheops	dncnn3_bench_boundary_4h	4	3	1	1	1429140874	570	407	6	633	18446744073709551579
boundary_only_cacheops	dncnn3_bench_boundary_8h	8	0	0	0	902030559	308	159	18	0	0
