variant	wait_s	gops	valid	passes	harts	mask	width	height	channels	disparities	output_sum	slot_sum	ops	log	dump
s100_o05_o3_align64_m08_prefr_lastout	0.251157	2.003991	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o05_o3_align64_m08_prefr_lastout_20260502-051007.log	dump_s100_o05_o3_align64_m08_prefr_lastout_20260502-051007.bin
s100_o00_o3_m08_prefr_lastout	0.251401	2.002046	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o00_o3_m08_prefr_lastout_20260502-051007.log	dump_s100_o00_o3_m08_prefr_lastout_20260502-051007.bin
s100_o03_o3_nounroll_m08_prefr_lastout	0.251417	2.001919	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o03_o3_nounroll_m08_prefr_lastout_20260502-051007.log	dump_s100_o03_o3_nounroll_m08_prefr_lastout_20260502-051007.bin
s100_o07_o3_notreecopy_m04_lastout	0.251460	2.001577	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o07_o3_notreecopy_m04_lastout_20260502-051007.log	dump_s100_o07_o3_notreecopy_m04_lastout_20260502-051007.bin
s100_o07_o3_notreecopy_m08_prefr_lastout	0.251479	2.001425	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o07_o3_notreecopy_m08_prefr_lastout_20260502-051007.log	dump_s100_o07_o3_notreecopy_m08_prefr_lastout_20260502-051007.bin
s100_o00_o3_m04_lastout	0.251695	1.999708	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o00_o3_m04_lastout_20260502-051007.log	dump_s100_o00_o3_m04_lastout_20260502-051007.bin
s100_o03_o3_nounroll_m04_lastout	0.251738	1.999366	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o03_o3_nounroll_m04_lastout_20260502-051007.log	dump_s100_o03_o3_nounroll_m04_lastout_20260502-051007.bin
s100_o06_o3_noipa_m08_prefr_lastout	0.252114	1.996384	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o06_o3_noipa_m08_prefr_lastout_20260502-051007.log	dump_s100_o06_o3_noipa_m08_prefr_lastout_20260502-051007.bin
s100_o06_o3_noipa_m04_lastout	0.252200	1.995704	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o06_o3_noipa_m04_lastout_20260502-051007.log	dump_s100_o06_o3_noipa_m04_lastout_20260502-051007.bin
s100_o03_o3_nounroll_m09_prefl_lastout	0.252562	1.992843	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o03_o3_nounroll_m09_prefl_lastout_20260502-051007.log	dump_s100_o03_o3_nounroll_m09_prefl_lastout_20260502-051007.bin
s100_o00_o3_m09_prefl_lastout	0.252632	1.992291	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o00_o3_m09_prefl_lastout_20260502-051007.log	dump_s100_o00_o3_m09_prefl_lastout_20260502-051007.bin
s100_o07_o3_notreecopy_m09_prefl_lastout	0.252704	1.991723	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o07_o3_notreecopy_m09_prefl_lastout_20260502-051007.log	dump_s100_o07_o3_notreecopy_m09_prefl_lastout_20260502-051007.bin
s100_o02_o3_unroll_m02_prefl	0.252898	1.990196	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o02_o3_unroll_m02_prefl_20260502-051007.log	dump_s100_o02_o3_unroll_m02_prefl_20260502-051007.bin
s100_o06_o3_noipa_m09_prefl_lastout	0.253253	1.987406	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o06_o3_noipa_m09_prefl_lastout_20260502-051007.log	dump_s100_o06_o3_noipa_m09_prefl_lastout_20260502-051007.bin
s100_o02_o3_unroll_m00_base	0.253926	1.982138	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o02_o3_unroll_m00_base_20260502-051007.log	dump_s100_o02_o3_unroll_m00_base_20260502-051007.bin
